ID,Name,PricePerUnit,Description
WDR001,Large Hot Chocolate,4,300mL (Contains milk)
WDR002,Small Hot Chocolate,2.75,150mL (Contains milk)
PST005,Croissant,1.80,Delicious
SNK104,Chocolate Candies,1.23,10 small chocolate candies
PST001,Waffle,3.40,Delicious
OTH001,Whipped Cream Topping,1,Delicious
WDR010,Espresso,1,Delicious
WDR011,Double Espresso,1.50,Delicious
WDR005,Black Tea,3.50,Delicious
WDR006,Chamomile,3.50,Tea
WDR007,Vanilla Tea,3,Delicious
PST740,Red Velvet Cake,4.15,Delicious
WDR007,Peppermint Tea,3,Delicious
PST381,Cheesecake,3.70,Delicious
WDR010,Coffee Latte,3.65,Delicious- 100mL
CDR002,Apple juice,2.30,200mL - Fresh apples
CDR001,Orange juice,2.15,200mL - Fresh oranges
CDR008,Coca,3,150mL - soda
SNK541,Chocolate Bar,2.40,30g
SNK001,Ham and Cheese Panini,2.60,Delicious
SNK002,Chicken and Cheese Panini,2.70,Delicious
SNK003,Honey and Goat Cheese Panini,2.70,Even mooore delicious
